MB1 MB2 MB3 MB4
-2.8181 -2.9315 -2.8681 -2.7716
-2.7729 -2.8965 -2.8282 -2.7528
-2.2945 -2.4079 -2.3445 -2.2496
-2.2493 -2.3729 -2.3046 -2.2253
-1.7709 -1.8843 -1.8209 -1.9472
-1.7257 -1.8493 -1.781 -1.9215
-1.2473 -1.3607 -1.2973 -1.5845
-1.2021 -1.3257 -1.2574 -1.5571
-0.7237 -0.8371 -0.7737 -1.2206
-0.6785 -0.8021 -0.7338 -1.1946
-0.2001 -0.3135 -0.2501 -0.9165
-0.1549 -0.2785 -0.2102 -0.8926
0.3235 0.2101 0.2735 -0.3895
0.3687 0.2451 0.3134 -0.3703
0.8471 0.7337 0.7971 0.1341
0.8923 0.7687 0.837 0.1533
1.3707 1.2573 1.3207 0.6577
1.4159 1.2923 1.3606 0.6769
1.8943 1.7809 1.8443 1.1579
1.9395 1.8159 1.8842 1.2005
2.4179 2.3045 2.3679 1.5559
2.4631 2.3395 2.4078 1.5857
2.9415 2.8281 2.8915 1.9408
2.9867 2.8631 2.9314 1.9831
NaN NaN NaN 2.4644
NaN NaN NaN 2.4832
NaN NaN NaN 2.988
NaN NaN NaN 3.0068
