phi1_MB1 phi1_MB2 phi1_MB3 phi1_MB4 phi2_MB1 phi2_MB2 phi2_MB3 phi2_MB4
-0.1442 -0.2694 -0.2027 -0.3831 0.3127 0.2031 0.2682 0.1481
0.3794 0.2542 0.3209 0.1405 0.8363 0.7267 0.7918 0.6717
0.903 0.7778 0.8445 0.6641 1.3599 1.2503 1.3154 1.1953
1.4266 1.3014 1.3681 1.1642 1.8835 1.7739 1.839 1.5499
1.9502 1.825 1.8917 1.9471 2.4071 2.2975 2.3626 2.4794
2.4738 2.3486 2.4153 2.4707 2.9307 2.8211 2.8862 3.003
2.9867 2.8722 2.9314 2.988 -2.8289 -2.9315 -2.8734 -2.7566
-2.7622 -2.8874 -2.8207 -2.7653 -2.3053 -2.4149 -2.3498 -2.2535
-2.2386 -2.3638 -2.2971 -2.2191 -1.7817 -1.8913 -1.8262 -1.9525
-1.715 -1.8402 -1.7735 -1.9151 -1.2581 -1.3677 -1.3026 -1.5904
-1.1914 -1.3166 -1.2499 -1.1883 -0.7345 -0.8441 -0.779 -0.9218
-0.6678 -0.793 -0.7263 -0.8863 -0.2109 -0.3205 -0.2554 -0.3755
NaN NaN NaN 1.5916 NaN NaN NaN 1.9794
NaN NaN NaN -1.5513 NaN NaN NaN -1.2247
